batch,domain,position,sample_id
0,Janus,0,Janus/Janus/test/1_fake/img_3897.jpg
0,Janus,1,Janus/Janus/test/0_real/2779.jpg
0,Janus,2,Janus/Janus/test/1_fake/img_900.jpg
0,Janus,3,Janus/Janus/test/1_fake/img_2986.jpg
0,Janus,4,Janus/Janus/test/0_real/474.jpg
0,Janus,5,Janus/Janus/test/1_fake/img_1708.jpg
0,Janus,6,Janus/Janus/test/1_fake/img_1343.jpg
0,Janus,7,Janus/Janus/test/1_fake/img_4988.jpg
0,Janus,8,Janus/Janus/test/0_real/1239.jpg
0,Janus,9,Janus/Janus/test/0_real/4875.jpg
0,Janus,10,Janus/Janus/test/0_real/3118.jpg
0,Janus,11,Janus/Janus/test/1_fake/img_466.jpg
0,Janus,12,Janus/Janus/test/0_real/4797.jpg
0,Janus,13,Janus/Janus/test/1_fake/img_2464.jpg
0,Janus,14,Janus/Janus/test/0_real/1344.jpg
0,Janus,15,Janus/Janus/test/1_fake/img_3770.jpg
1,Janus,16,Janus/Janus/test/0_real/3385.jpg
1,Janus,17,Janus/Janus/test/1_fake/img_2757.jpg
1,Janus,18,Janus/Janus/test/1_fake/img_4661.jpg
1,Janus,19,Janus/Janus/test/0_real/138.jpg
1,Janus,20,Janus/Janus/test/0_real/3445.jpg
1,Janus,21,Janus/Janus/test/0_real/506.jpg
1,Janus,22,Janus/Janus/test/0_real/4555.jpg
1,Janus,23,Janus/Janus/test/0_real/3312.jpg
1,Janus,24,Janus/Janus/test/1_fake/img_2356.jpg
1,Janus,25,Janus/Janus/test/1_fake/img_3249.jpg
1,Janus,26,Janus/Janus/test/1_fake/img_119.jpg
1,Janus,27,Janus/Janus/test/1_fake/img_3561.jpg
1,Janus,28,Janus/Janus/test/1_fake/img_328.jpg
1,Janus,29,Janus/Janus/test/0_real/3430.jpg
1,Janus,30,Janus/Janus/test/1_fake/img_805.jpg
1,Janus,31,Janus/Janus/test/1_fake/img_2692.jpg
2,Janus,32,Janus/Janus/test/1_fake/img_1191.jpg
2,Janus,33,Janus/Janus/test/1_fake/img_4401.jpg
2,Janus,34,Janus/Janus/test/1_fake/img_2733.jpg
2,Janus,35,Janus/Janus/test/0_real/1623.jpg
2,Janus,36,Janus/Janus/test/0_real/140.jpg
2,Janus,37,Janus/Janus/test/0_real/1510.jpg
2,Janus,38,Janus/Janus/test/0_real/4054.jpg
2,Janus,39,Janus/Janus/test/0_real/1952.jpg
2,Janus,40,Janus/Janus/test/0_real/3958.jpg
2,Janus,41,Janus/Janus/test/0_real/1497.jpg
2,Janus,42,Janus/Janus/test/1_fake/img_3995.jpg
2,Janus,43,Janus/Janus/test/1_fake/img_3567.jpg
2,Janus,44,Janus/Janus/test/1_fake/img_3459.jpg
2,Janus,45,Janus/Janus/test/1_fake/img_469.jpg
2,Janus,46,Janus/Janus/test/0_real/970.jpg
2,Janus,47,Janus/Janus/test/1_fake/img_571.jpg
3,Janus,48,Janus/Janus/test/1_fake/img_4521.jpg
3,Janus,49,Janus/Janus/test/0_real/821.jpg
3,Janus,50,Janus/Janus/test/1_fake/img_990.jpg
3,Janus,51,Janus/Janus/test/0_real/2500.jpg
3,Janus,52,Janus/Janus/test/1_fake/img_2381.jpg
3,Janus,53,Janus/Janus/test/1_fake/img_2723.jpg
3,Janus,54,Janus/Janus/test/1_fake/img_3880.jpg
3,Janus,55,Janus/Janus/test/1_fake/img_2950.jpg
3,Janus,56,Janus/Janus/test/1_fake/img_1568.jpg
3,Janus,57,Janus/Janus/test/0_real/4104.jpg
3,Janus,58,Janus/Janus/test/0_real/3691.jpg
3,Janus,59,Janus/Janus/test/1_fake/img_2242.jpg
3,Janus,60,Janus/Janus/test/0_real/651.jpg
3,Janus,61,Janus/Janus/test/1_fake/img_3235.jpg
3,Janus,62,Janus/Janus/test/1_fake/img_3871.jpg
3,Janus,63,Janus/Janus/test/0_real/4156.jpg
4,Janus,64,Janus/Janus/test/1_fake/img_4102.jpg
4,Janus,65,Janus/Janus/test/0_real/4429.jpg
4,Janus,66,Janus/Janus/test/0_real/4498.jpg
4,Janus,67,Janus/Janus/test/1_fake/img_2518.jpg
4,Janus,68,Janus/Janus/test/1_fake/img_1516.jpg
4,Janus,69,Janus/Janus/test/1_fake/img_3928.jpg
4,Janus,70,Janus/Janus/test/0_real/491.jpg
4,Janus,71,Janus/Janus/test/0_real/2582.jpg
4,Janus,72,Janus/Janus/test/1_fake/img_2183.jpg
4,Janus,73,Janus/Janus/test/1_fake/img_1564.jpg
4,Janus,74,Janus/Janus/test/0_real/4695.jpg
4,Janus,75,Janus/Janus/test/1_fake/img_245.jpg
4,Janus,76,Janus/Janus/test/0_real/4480.jpg
4,Janus,77,Janus/Janus/test/0_real/1279.jpg
4,Janus,78,Janus/Janus/test/1_fake/img_4527.jpg
4,Janus,79,Janus/Janus/test/1_fake/img_1717.jpg
5,Janus,80,Janus/Janus/test/0_real/4212.jpg
5,Janus,81,Janus/Janus/test/0_real/3947.jpg
5,Janus,82,Janus/Janus/test/0_real/3102.jpg
5,Janus,83,Janus/Janus/test/1_fake/img_2634.jpg
5,Janus,84,Janus/Janus/test/1_fake/img_3751.jpg
5,Janus,85,Janus/Janus/test/1_fake/img_1776.jpg
5,Janus,86,Janus/Janus/test/0_real/1258.jpg
5,Janus,87,Janus/Janus/test/0_real/2466.jpg
5,Janus,88,Janus/Janus/test/1_fake/img_623.jpg
5,Janus,89,Janus/Janus/test/0_real/3024.jpg
5,Janus,90,Janus/Janus/test/1_fake/img_555.jpg
5,Janus,91,Janus/Janus/test/1_fake/img_4580.jpg
5,Janus,92,Janus/Janus/test/0_real/3136.jpg
5,Janus,93,Janus/Janus/test/0_real/3766.jpg
5,Janus,94,Janus/Janus/test/1_fake/img_2026.jpg
5,Janus,95,Janus/Janus/test/1_fake/img_569.jpg
6,Janus,96,Janus/Janus/test/0_real/978.jpg
6,Janus,97,Janus/Janus/test/0_real/2750.jpg
6,Janus,98,Janus/Janus/test/1_fake/img_407.jpg
6,Janus,99,Janus/Janus/test/1_fake/img_4712.jpg
6,Janus,100,Janus/Janus/test/0_real/662.jpg
6,Janus,101,Janus/Janus/test/1_fake/img_909.jpg
6,Janus,102,Janus/Janus/test/0_real/2777.jpg
6,Janus,103,Janus/Janus/test/0_real/415.jpg
6,Janus,104,Janus/Janus/test/1_fake/img_772.jpg
6,Janus,105,Janus/Janus/test/0_real/3990.jpg
6,Janus,106,Janus/Janus/test/1_fake/img_1508.jpg
6,Janus,107,Janus/Janus/test/1_fake/img_1741.jpg
6,Janus,108,Janus/Janus/test/0_real/1918.jpg
6,Janus,109,Janus/Janus/test/1_fake/img_1661.jpg
6,Janus,110,Janus/Janus/test/0_real/1470.jpg
6,Janus,111,Janus/Janus/test/0_real/1440.jpg
7,Janus,112,Janus/Janus/test/0_real/3996.jpg
7,Janus,113,Janus/Janus/test/0_real/362.jpg
7,Janus,114,Janus/Janus/test/1_fake/img_580.jpg
7,Janus,115,Janus/Janus/test/0_real/4342.jpg
7,Janus,116,Janus/Janus/test/1_fake/img_2515.jpg
7,Janus,117,Janus/Janus/test/1_fake/img_158.jpg
7,Janus,118,Janus/Janus/test/0_real/2665.jpg
7,Janus,119,Janus/Janus/test/1_fake/img_4403.jpg
7,Janus,120,Janus/Janus/test/1_fake/img_3131.jpg
7,Janus,121,Janus/Janus/test/0_real/2392.jpg
7,Janus,122,Janus/Janus/test/1_fake/img_1237.jpg
7,Janus,123,Janus/Janus/test/1_fake/img_538.jpg
7,Janus,124,Janus/Janus/test/1_fake/img_4177.jpg
7,Janus,125,Janus/Janus/test/0_real/2055.jpg
7,Janus,126,Janus/Janus/test/0_real/189.jpg
7,Janus,127,Janus/Janus/test/0_real/3347.jpg
8,Janus,128,Janus/Janus/test/0_real/2131.jpg
8,Janus,129,Janus/Janus/test/1_fake/img_288.jpg
8,Janus,130,Janus/Janus/test/1_fake/img_701.jpg
8,Janus,131,Janus/Janus/test/0_real/789.jpg
8,Janus,132,Janus/Janus/test/1_fake/img_368.jpg
8,Janus,133,Janus/Janus/test/1_fake/img_2547.jpg
8,Janus,134,Janus/Janus/test/1_fake/img_4457.jpg
8,Janus,135,Janus/Janus/test/1_fake/img_4704.jpg
8,Janus,136,Janus/Janus/test/0_real/3775.jpg
8,Janus,137,Janus/Janus/test/1_fake/img_3206.jpg
8,Janus,138,Janus/Janus/test/1_fake/img_3177.jpg
8,Janus,139,Janus/Janus/test/0_real/4672.jpg
8,Janus,140,Janus/Janus/test/0_real/1329.jpg
8,Janus,141,Janus/Janus/test/0_real/2601.jpg
8,Janus,142,Janus/Janus/test/0_real/4640.jpg
8,Janus,143,Janus/Janus/test/0_real/263.jpg
9,Janus,144,Janus/Janus/test/0_real/307.jpg
9,Janus,145,Janus/Janus/test/0_real/1283.jpg
9,Janus,146,Janus/Janus/test/0_real/991.jpg
9,Janus,147,Janus/Janus/test/1_fake/img_4837.jpg
9,Janus,148,Janus/Janus/test/0_real/3308.jpg
9,Janus,149,Janus/Janus/test/0_real/4195.jpg
9,Janus,150,Janus/Janus/test/0_real/466.jpg
9,Janus,151,Janus/Janus/test/1_fake/img_1138.jpg
9,Janus,152,Janus/Janus/test/1_fake/img_4936.jpg
9,Janus,153,Janus/Janus/test/1_fake/img_2423.jpg
9,Janus,154,Janus/Janus/test/0_real/2152.jpg
9,Janus,155,Janus/Janus/test/0_real/1798.jpg
9,Janus,156,Janus/Janus/test/1_fake/img_121.jpg
9,Janus,157,Janus/Janus/test/0_real/3152.jpg
9,Janus,158,Janus/Janus/test/0_real/2028.jpg
9,Janus,159,Janus/Janus/test/0_real/267.jpg
10,Janus,160,Janus/Janus/test/1_fake/img_1471.jpg
10,Janus,161,Janus/Janus/test/1_fake/img_1875.jpg
10,Janus,162,Janus/Janus/test/1_fake/img_3920.jpg
10,Janus,163,Janus/Janus/test/1_fake/img_635.jpg
10,Janus,164,Janus/Janus/test/0_real/3224.jpg
10,Janus,165,Janus/Janus/test/0_real/2928.jpg
10,Janus,166,Janus/Janus/test/1_fake/img_708.jpg
10,Janus,167,Janus/Janus/test/0_real/2922.jpg
10,Janus,168,Janus/Janus/test/1_fake/img_4210.jpg
10,Janus,169,Janus/Janus/test/0_real/969.jpg
10,Janus,170,Janus/Janus/test/0_real/802.jpg
10,Janus,171,Janus/Janus/test/1_fake/img_640.jpg
10,Janus,172,Janus/Janus/test/0_real/4197.jpg
10,Janus,173,Janus/Janus/test/1_fake/img_2925.jpg
10,Janus,174,Janus/Janus/test/0_real/1468.jpg
10,Janus,175,Janus/Janus/test/1_fake/img_3400.jpg
11,Janus,176,Janus/Janus/test/0_real/2492.jpg
11,Janus,177,Janus/Janus/test/0_real/3606.jpg
11,Janus,178,Janus/Janus/test/0_real/4356.jpg
11,Janus,179,Janus/Janus/test/0_real/4836.jpg
11,Janus,180,Janus/Janus/test/0_real/2298.jpg
11,Janus,181,Janus/Janus/test/0_real/301.jpg
11,Janus,182,Janus/Janus/test/0_real/2834.jpg
11,Janus,183,Janus/Janus/test/0_real/4788.jpg
11,Janus,184,Janus/Janus/test/0_real/3027.jpg
11,Janus,185,Janus/Janus/test/1_fake/img_3380.jpg
11,Janus,186,Janus/Janus/test/1_fake/img_3642.jpg
11,Janus,187,Janus/Janus/test/0_real/1531.jpg
11,Janus,188,Janus/Janus/test/0_real/4261.jpg
11,Janus,189,Janus/Janus/test/0_real/421.jpg
11,Janus,190,Janus/Janus/test/1_fake/img_2080.jpg
11,Janus,191,Janus/Janus/test/1_fake/img_183.jpg
12,Janus,192,Janus/Janus/test/1_fake/img_3025.jpg
12,Janus,193,Janus/Janus/test/1_fake/img_3152.jpg
12,Janus,194,Janus/Janus/test/0_real/4057.jpg
12,Janus,195,Janus/Janus/test/1_fake/img_475.jpg
12,Janus,196,Janus/Janus/test/0_real/2683.jpg
12,Janus,197,Janus/Janus/test/0_real/67.jpg
12,Janus,198,Janus/Janus/test/1_fake/img_3376.jpg
12,Janus,199,Janus/Janus/test/0_real/3056.jpg
12,Janus,200,Janus/Janus/test/1_fake/img_196.jpg
12,Janus,201,Janus/Janus/test/1_fake/img_1023.jpg
12,Janus,202,Janus/Janus/test/0_real/3522.jpg
12,Janus,203,Janus/Janus/test/1_fake/img_4106.jpg
12,Janus,204,Janus/Janus/test/1_fake/img_1160.jpg
12,Janus,205,Janus/Janus/test/1_fake/img_2896.jpg
12,Janus,206,Janus/Janus/test/0_real/1521.jpg
12,Janus,207,Janus/Janus/test/0_real/3598.jpg
13,Janus,208,Janus/Janus/test/1_fake/img_3388.jpg
13,Janus,209,Janus/Janus/test/1_fake/img_2866.jpg
13,Janus,210,Janus/Janus/test/0_real/132.jpg
13,Janus,211,Janus/Janus/test/0_real/3814.jpg
13,Janus,212,Janus/Janus/test/1_fake/img_3119.jpg
13,Janus,213,Janus/Janus/test/0_real/4193.jpg
13,Janus,214,Janus/Janus/test/0_real/1322.jpg
13,Janus,215,Janus/Janus/test/0_real/1339.jpg
13,Janus,216,Janus/Janus/test/0_real/2896.jpg
13,Janus,217,Janus/Janus/test/1_fake/img_3079.jpg
13,Janus,218,Janus/Janus/test/1_fake/img_3872.jpg
13,Janus,219,Janus/Janus/test/0_real/3486.jpg
13,Janus,220,Janus/Janus/test/0_real/2435.jpg
13,Janus,221,Janus/Janus/test/1_fake/img_4154.jpg
13,Janus,222,Janus/Janus/test/1_fake/img_1921.jpg
13,Janus,223,Janus/Janus/test/1_fake/img_2958.jpg
14,Janus,224,Janus/Janus/test/1_fake/img_1617.jpg
14,Janus,225,Janus/Janus/test/0_real/4167.jpg
14,Janus,226,Janus/Janus/test/0_real/1393.jpg
14,Janus,227,Janus/Janus/test/0_real/3337.jpg
14,Janus,228,Janus/Janus/test/0_real/3983.jpg
14,Janus,229,Janus/Janus/test/1_fake/img_2494.jpg
14,Janus,230,Janus/Janus/test/0_real/1151.jpg
14,Janus,231,Janus/Janus/test/1_fake/img_1164.jpg
14,Janus,232,Janus/Janus/test/1_fake/img_634.jpg
14,Janus,233,Janus/Janus/test/1_fake/img_1016.jpg
14,Janus,234,Janus/Janus/test/1_fake/img_647.jpg
14,Janus,235,Janus/Janus/test/1_fake/img_2074.jpg
14,Janus,236,Janus/Janus/test/0_real/2801.jpg
14,Janus,237,Janus/Janus/test/1_fake/img_541.jpg
14,Janus,238,Janus/Janus/test/0_real/1454.jpg
14,Janus,239,Janus/Janus/test/0_real/910.jpg
15,Janus,240,Janus/Janus/test/0_real/1228.jpg
15,Janus,241,Janus/Janus/test/1_fake/img_4881.jpg
15,Janus,242,Janus/Janus/test/0_real/1574.jpg
15,Janus,243,Janus/Janus/test/0_real/775.jpg
15,Janus,244,Janus/Janus/test/0_real/2431.jpg
15,Janus,245,Janus/Janus/test/1_fake/img_305.jpg
15,Janus,246,Janus/Janus/test/0_real/2734.jpg
15,Janus,247,Janus/Janus/test/0_real/1775.jpg
15,Janus,248,Janus/Janus/test/1_fake/img_3216.jpg
15,Janus,249,Janus/Janus/test/1_fake/img_2844.jpg
15,Janus,250,Janus/Janus/test/1_fake/img_176.jpg
15,Janus,251,Janus/Janus/test/1_fake/img_1440.jpg
15,Janus,252,Janus/Janus/test/0_real/697.jpg
15,Janus,253,Janus/Janus/test/1_fake/img_2823.jpg
15,Janus,254,Janus/Janus/test/0_real/2848.jpg
15,Janus,255,Janus/Janus/test/1_fake/img_70.jpg
16,Janus,256,Janus/Janus/test/1_fake/img_271.jpg
16,Janus,257,Janus/Janus/test/1_fake/img_3194.jpg
16,Janus,258,Janus/Janus/test/1_fake/img_3509.jpg
16,Janus,259,Janus/Janus/test/0_real/823.jpg
16,Janus,260,Janus/Janus/test/1_fake/img_3802.jpg
16,Janus,261,Janus/Janus/test/0_real/2135.jpg
16,Janus,262,Janus/Janus/test/0_real/3756.jpg
16,Janus,263,Janus/Janus/test/1_fake/img_1335.jpg
16,Janus,264,Janus/Janus/test/0_real/2684.jpg
16,Janus,265,Janus/Janus/test/1_fake/img_2028.jpg
16,Janus,266,Janus/Janus/test/1_fake/img_4772.jpg
16,Janus,267,Janus/Janus/test/0_real/617.jpg
16,Janus,268,Janus/Janus/test/1_fake/img_126.jpg
16,Janus,269,Janus/Janus/test/1_fake/img_4248.jpg
16,Janus,270,Janus/Janus/test/0_real/291.jpg
16,Janus,271,Janus/Janus/test/0_real/2156.jpg
17,Janus,272,Janus/Janus/test/1_fake/img_1298.jpg
17,Janus,273,Janus/Janus/test/1_fake/img_3320.jpg
17,Janus,274,Janus/Janus/test/0_real/2226.jpg
17,Janus,275,Janus/Janus/test/0_real/62.jpg
17,Janus,276,Janus/Janus/test/1_fake/img_3061.jpg
17,Janus,277,Janus/Janus/test/0_real/1476.jpg
17,Janus,278,Janus/Janus/test/0_real/3797.jpg
17,Janus,279,Janus/Janus/test/0_real/572.jpg
17,Janus,280,Janus/Janus/test/0_real/4614.jpg
17,Janus,281,Janus/Janus/test/1_fake/img_833.jpg
17,Janus,282,Janus/Janus/test/0_real/1019.jpg
17,Janus,283,Janus/Janus/test/0_real/4046.jpg
17,Janus,284,Janus/Janus/test/0_real/3222.jpg
17,Janus,285,Janus/Janus/test/1_fake/img_3777.jpg
17,Janus,286,Janus/Janus/test/0_real/1292.jpg
17,Janus,287,Janus/Janus/test/1_fake/img_3272.jpg
18,Janus,288,Janus/Janus/test/1_fake/img_3421.jpg
18,Janus,289,Janus/Janus/test/1_fake/img_731.jpg
18,Janus,290,Janus/Janus/test/1_fake/img_354.jpg
18,Janus,291,Janus/Janus/test/0_real/3939.jpg
18,Janus,292,Janus/Janus/test/0_real/2819.jpg
18,Janus,293,Janus/Janus/test/0_real/3043.jpg
18,Janus,294,Janus/Janus/test/0_real/2448.jpg
18,Janus,295,Janus/Janus/test/0_real/1712.jpg
18,Janus,296,Janus/Janus/test/1_fake/img_4781.jpg
18,Janus,297,Janus/Janus/test/1_fake/img_227.jpg
18,Janus,298,Janus/Janus/test/1_fake/img_1648.jpg
18,Janus,299,Janus/Janus/test/1_fake/img_1485.jpg
18,Janus,300,Janus/Janus/test/0_real/1423.jpg
18,Janus,301,Janus/Janus/test/0_real/4023.jpg
18,Janus,302,Janus/Janus/test/1_fake/img_3259.jpg
18,Janus,303,Janus/Janus/test/1_fake/img_2812.jpg
19,Janus,304,Janus/Janus/test/1_fake/img_68.jpg
19,Janus,305,Janus/Janus/test/1_fake/img_4776.jpg
