batch,domain,position,sample_id
0,SD1.5_first,0,GenImage_test/stable_diffusion_v_1_5/test/nature/ILSVRC2012_val_00035748.JPEG
0,SD1.5_first,1,GenImage_test/stable_diffusion_v_1_5/test/nature/ILSVRC2012_val_00005120.JPEG
0,SD1.5_first,2,GenImage_test/stable_diffusion_v_1_5/test/nature/ILSVRC2012_val_00008956.JPEG
0,SD1.5_first,3,GenImage_test/stable_diffusion_v_1_5/test/ai/419_sdv5_00009.png
0,SD1.5_first,4,GenImage_test/stable_diffusion_v_1_5/test/ai/004_sdv5_00100.png
0,SD1.5_first,5,GenImage_test/stable_diffusion_v_1_5/test/nature/ILSVRC2012_val_00010205.JPEG
0,SD1.5_first,6,GenImage_test/stable_diffusion_v_1_5/test/nature/ILSVRC2012_val_00025968.JPEG
0,SD1.5_first,7,GenImage_test/stable_diffusion_v_1_5/test/ai/864_sdv5_00003.png
0,SD1.5_first,8,GenImage_test/stable_diffusion_v_1_5/test/ai/580_sdv5_00003.png
0,SD1.5_first,9,GenImage_test/stable_diffusion_v_1_5/test/nature/ILSVRC2012_val_00002704.JPEG
0,SD1.5_first,10,GenImage_test/stable_diffusion_v_1_5/test/ai/315_sdv5_00009.png
0,SD1.5_first,11,GenImage_test/stable_diffusion_v_1_5/test/nature/ILSVRC2012_val_00003318.JPEG
0,SD1.5_first,12,GenImage_test/stable_diffusion_v_1_5/test/ai/242_sdv5_00020.png
0,SD1.5_first,13,GenImage_test/stable_diffusion_v_1_5/test/nature/ILSVRC2012_val_00037732.JPEG
0,SD1.5_first,14,GenImage_test/stable_diffusion_v_1_5/test/nature/ILSVRC2012_val_00028819.JPEG
0,SD1.5_first,15,GenImage_test/stable_diffusion_v_1_5/test/nature/ILSVRC2012_val_00036975.JPEG
1,SD1.5_first,16,GenImage_test/stable_diffusion_v_1_5/test/nature/ILSVRC2012_val_00005383.JPEG
1,SD1.5_first,17,GenImage_test/stable_diffusion_v_1_5/test/ai/791_sdv5_00027.png
