batch,domain,position,sample_id
0,BigGAN,0,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00032044.JPEG
0,BigGAN,1,GenImage_test/BigGAN/test/ai/444_biggan_00035.png
0,BigGAN,2,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00049169.JPEG
0,BigGAN,3,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00022278.JPEG
0,BigGAN,4,GenImage_test/BigGAN/test/ai/833_biggan_00020.png
0,BigGAN,5,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00007707.JPEG
0,BigGAN,6,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00003820.JPEG
0,BigGAN,7,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00044756.JPEG
0,BigGAN,8,GenImage_test/BigGAN/test/ai/053_biggan_00020.png
0,BigGAN,9,GenImage_test/BigGAN/test/ai/877_biggan_00035.png
0,BigGAN,10,GenImage_test/BigGAN/test/ai/511_biggan_00020.png
0,BigGAN,11,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00041225.JPEG
0,BigGAN,12,GenImage_test/BigGAN/test/ai/845_biggan_00143.png
0,BigGAN,13,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00016434.JPEG
0,BigGAN,14,GenImage_test/BigGAN/test/ai/077_biggan_00143.png
0,BigGAN,15,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00030541.JPEG
1,BigGAN,16,GenImage_test/BigGAN/test/ai/553_biggan_00020.png
1,BigGAN,17,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00019704.JPEG
1,BigGAN,18,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00041443.JPEG
1,BigGAN,19,GenImage_test/BigGAN/test/ai/089_biggan_00035.png
1,BigGAN,20,GenImage_test/BigGAN/test/ai/562_biggan_00020.png
1,BigGAN,21,GenImage_test/BigGAN/test/ai/901_biggan_00020.png
1,BigGAN,22,GenImage_test/BigGAN/test/ai/804_biggan_00074.png
1,BigGAN,23,GenImage_test/BigGAN/test/ai/536_biggan_00127.png
1,BigGAN,24,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00015560.JPEG
1,BigGAN,25,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00024780.JPEG
1,BigGAN,26,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00001519.JPEG
1,BigGAN,27,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00028493.JPEG
