batch,domain,position,sample_id
0,SD1.5,0,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000375606.jpg
0,SD1.5,1,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000233040.jpg
0,SD1.5,2,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000567713.jpg
0,SD1.5,3,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000257063.jpg
0,SD1.5,4,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000465295.jpg
0,SD1.5,5,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000104487.jpg
0,SD1.5,6,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000046155.jpg
0,SD1.5,7,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000508771.jpg
0,SD1.5,8,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000021979.jpg
0,SD1.5,9,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000485306.jpg
0,SD1.5,10,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000272599.jpg
0,SD1.5,11,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000456286.jpg
0,SD1.5,12,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000476499.jpg
0,SD1.5,13,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000191647.jpg
0,SD1.5,14,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000037492.jpg
0,SD1.5,15,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000355779.jpg
1,SD1.5,16,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000300836.jpg
1,SD1.5,17,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000232116.jpg
1,SD1.5,18,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000458240.jpg
1,SD1.5,19,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000042404.jpg
1,SD1.5,20,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000306758.jpg
1,SD1.5,21,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000505040.jpg
1,SD1.5,22,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000446422.jpg
1,SD1.5,23,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000293246.jpg
1,SD1.5,24,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000178533.jpg
1,SD1.5,25,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000284535.jpg
1,SD1.5,26,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000025765.jpg
1,SD1.5,27,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000328284.jpg
1,SD1.5,28,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000288729.jpg
1,SD1.5,29,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000305259.jpg
1,SD1.5,30,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000558271.jpg
1,SD1.5,31,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000225641.jpg
2,SD1.5,32,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000025870.jpg
2,SD1.5,33,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000431996.jpg
2,SD1.5,34,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000228671.jpg
2,SD1.5,35,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000075778.jpg
2,SD1.5,36,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000046112.jpg
2,SD1.5,37,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000063247.jpg
2,SD1.5,38,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000391745.jpg
2,SD1.5,39,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000114732.jpg
2,SD1.5,40,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000384981.jpg
2,SD1.5,41,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000061372.jpg
2,SD1.5,42,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000387434.jpg
2,SD1.5,43,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000329502.jpg
2,SD1.5,44,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000317191.jpg
2,SD1.5,45,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000462057.jpg
2,SD1.5,46,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000579034.jpg
2,SD1.5,47,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000521953.jpg
3,SD1.5,48,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000442785.jpg
3,SD1.5,49,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000554767.jpg
3,SD1.5,50,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000577838.jpg
3,SD1.5,51,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000200351.jpg
3,SD1.5,52,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000182125.jpg
3,SD1.5,53,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000228344.jpg
3,SD1.5,54,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000371652.jpg
3,SD1.5,55,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000253843.jpg
3,SD1.5,56,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000082565.jpg
3,SD1.5,57,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000398632.jpg
3,SD1.5,58,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000348027.jpg
3,SD1.5,59,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000165571.jpg
3,SD1.5,60,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000524233.jpg
3,SD1.5,61,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000282738.jpg
3,SD1.5,62,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000370391.jpg
3,SD1.5,63,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000403423.jpg
4,SD1.5,64,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000397832.jpg
4,SD1.5,65,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000434211.jpg
4,SD1.5,66,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000439756.jpg
4,SD1.5,67,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000203481.jpg
4,SD1.5,68,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000070714.jpg
4,SD1.5,69,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000380635.jpg
4,SD1.5,70,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000490931.jpg
4,SD1.5,71,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000207075.jpg
4,SD1.5,72,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000160889.jpg
4,SD1.5,73,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000081128.jpg
4,SD1.5,74,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000460761.jpg
4,SD1.5,75,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000189239.jpg
4,SD1.5,76,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000437806.jpg
4,SD1.5,77,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000027424.jpg
4,SD1.5,78,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000444409.jpg
4,SD1.5,79,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000109229.jpg
5,SD1.5,80,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000411343.jpg
5,SD1.5,81,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000382411.jpg
5,SD1.5,82,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000272463.jpg
5,SD1.5,83,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000221996.jpg
5,SD1.5,84,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000355035.jpg
5,SD1.5,85,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000114025.jpg
5,SD1.5,86,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000023729.jpg
5,SD1.5,87,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000191647.jpg
5,SD1.5,88,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000529795.jpg
5,SD1.5,89,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000256385.jpg
5,SD1.5,90,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000517296.jpg
5,SD1.5,91,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000451598.jpg
5,SD1.5,92,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000273197.jpg
5,SD1.5,93,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000355272.jpg
5,SD1.5,94,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000136200.jpg
5,SD1.5,95,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000520868.jpg
6,SD1.5,96,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000580668.jpg
6,SD1.5,97,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000226890.jpg
6,SD1.5,98,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000394941.jpg
6,SD1.5,99,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000469260.jpg
6,SD1.5,100,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000526133.jpg
6,SD1.5,101,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000569308.jpg
6,SD1.5,102,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000232047.jpg
6,SD1.5,103,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000403170.jpg
6,SD1.5,104,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000552406.jpg
6,SD1.5,105,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000387150.jpg
6,SD1.5,106,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000068041.jpg
6,SD1.5,107,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000111099.jpg
6,SD1.5,108,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000113313.jpg
6,SD1.5,109,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000096755.jpg
6,SD1.5,110,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000060056.jpg
6,SD1.5,111,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000056416.jpg
7,SD1.5,112,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000388294.jpg
7,SD1.5,113,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000337298.jpg
