method,metric,mean,std,count
source,online_pooled_auc,0.6402362267573696,0.0012274902037019044,3
source,online_average_domain_auc,0.6400908359788361,0.0013277479040400457,3
source,final_average_auc,0.6376289523809523,0.0037535326634761195,3
source,final_pooled_auc,0.6387712108843537,0.0036963737371087744,3
source,average_forgetting,0.0,0.0,3
tent,online_pooled_auc,0.5484895117157974,0.06920109878932615,3
tent,online_average_domain_auc,0.5455996613756614,0.07008134240967694,3
tent,final_average_auc,0.5234540952380952,0.04732155439451377,3
tent,final_pooled_auc,0.5248213333333333,0.04810446019391373,3
tent,average_forgetting,0.047694222222222214,0.010373858627088334,3
eata,online_pooled_auc,0.6447206046863189,0.0018015910715456509,3
eata,online_average_domain_auc,0.6329328677248677,0.0016498174712429473,3
eata,final_average_auc,0.6315100952380953,0.004418926615748861,3
eata,final_pooled_auc,0.6422442993197279,0.00400638154616268,3
eata,average_forgetting,0.0,0.0,3
cotta,online_pooled_auc,0.5719729281934997,0.018720038423895878,3
cotta,online_average_domain_auc,0.5739682116402117,0.015683828684168195,3
cotta,final_average_auc,0.5753801904761905,0.016338475349980036,3
cotta,final_pooled_auc,0.5787852517006802,0.015333913334218702,3
cotta,average_forgetting,0.013832444444444453,0.0034765265764894306,3
rotta,online_pooled_auc,0.6291255691609977,0.0022477669731098197,3
rotta,online_average_domain_auc,0.6216613756613757,0.0021648185527713337,3
rotta,final_average_auc,0.630647238095238,0.004117948581151379,3
rotta,final_pooled_auc,0.6318326530612245,0.004713804951897312,3
rotta,average_forgetting,0.03969599999999999,0.0071980220739990665,3
lame,online_pooled_auc,0.6195832864701436,0.0011146540648306227,3
lame,online_average_domain_auc,0.6395456931216931,0.0007523048152041193,3
lame,final_average_auc,0.6375226666666666,0.003379924275607923,3
lame,final_pooled_auc,0.6188126258503401,0.0035545536120324913,3
lame,average_forgetting,0.0,0.0,3
t2a,online_pooled_auc,0.5484845835222979,0.014608119903058355,3
t2a,online_average_domain_auc,0.5554849523809523,0.013815243561758056,3
t2a,final_average_auc,0.4779249523809524,0.06726873330724983,3
t2a,final_pooled_auc,0.4806873469387755,0.07131577927736275,3
t2a,average_forgetting,0.14305333333333334,0.06898363930994393,3
