method,domain,mean,std,count
source,Midjourney v5,0.7801349999999999,0.0,3
source,SD1.5,0.7145905,0.0,3
source,ADM,0.40807600000000005,0.0,3
source,GLIDE,0.653042,0.0,3
source,Wukong,0.9871165,0.0,3
source,VQDM,0.501568,0.0,3
source,BigGAN,0.43103500000000006,0.0,3
source,macro_average,0.6393661428571429,0.0,3
tent,Midjourney v5,0.7908591666666668,0.0209694012869546,3
tent,SD1.5,0.6707865000000001,0.014740945729497846,3
tent,ADM,0.37349666666666664,0.041760986606321125,3
tent,GLIDE,0.6233405,0.23380985792466066,3
tent,Wukong,0.9689145,0.0036990529531218917,3
tent,VQDM,0.42345816666666675,0.03866472540421478,3
tent,BigGAN,0.4929483333333333,0.03006663493531214,3
tent,macro_average,0.6205434047619048,0.03253301135740887,3
eata,Midjourney v5,0.807657,0.005026761954777646,3
eata,SD1.5,0.6827663333333334,0.003603954228806586,3
eata,ADM,0.38468183333333333,0.0043404283870757746,3
eata,GLIDE,0.6604955,0.007243160239149785,3
eata,Wukong,0.9723038333333335,0.0023717014110831215,3
eata,VQDM,0.3988613333333333,0.0031605300715755362,3
eata,BigGAN,0.5099248333333333,0.0017958676408169317,3
eata,macro_average,0.6309558095238095,0.0010909701503925807,3
cotta,Midjourney v5,0.7972514999999999,0.008411233515365048,3
cotta,SD1.5,0.6756316666666667,0.01056706468624719,3
cotta,ADM,0.3874083333333333,0.0053415347591617935,3
cotta,GLIDE,0.6858848333333333,0.04445120810038047,3
cotta,Wukong,0.9703381666666666,0.0017407176920262483,3
cotta,VQDM,0.3941321666666666,0.02142504050365674,3
cotta,BigGAN,0.5206543333333333,0.02167186388115553,3
cotta,macro_average,0.6330429999999999,0.004072229790211447,3
rotta,Midjourney v5,0.7951931666666668,0.00328364965904301,3
rotta,SD1.5,0.6806329999999999,0.0038025767250641925,3
rotta,ADM,0.3866325,0.003479540055812015,3
rotta,GLIDE,0.6487345,0.0007979172889466709,3
rotta,Wukong,0.9828918333333334,0.0006074957475845483,3
rotta,VQDM,0.4036138333333333,0.004620708720892658,3
rotta,BigGAN,0.506372,0.004448389287146575,3
rotta,macro_average,0.6291529761904763,0.00036765226842251,3
lame,Midjourney v5,0.7783403333333333,0.0008843157430089208,3
lame,SD1.5,0.7091035,0.005096754138665156,3
lame,ADM,0.4152996666666667,0.001541277500430473,3
lame,GLIDE,0.6503876666666666,0.0005582977103062958,3
lame,Wukong,0.9849011666666666,0.0009455453893565184,3
lame,VQDM,0.5106324999999999,0.0013313670605809935,3
lame,BigGAN,0.4268583333333333,0.0009713749705100217,3
lame,macro_average,0.6393604523809524,0.0005667551991665403,3
t2a,Midjourney v5,0.7910286666666666,0.007431521754212493,3
t2a,SD1.5,0.6748873333333334,0.0031630181920648667,3
t2a,ADM,0.38167650000000003,0.010382263276858298,3
t2a,GLIDE,0.6205138333333333,0.027077102551479416,3
t2a,Wukong,0.9714086666666667,0.004163249942452833,3
t2a,VQDM,0.40582416666666665,0.005978633253790776,3
t2a,BigGAN,0.5043173333333334,0.007578498438565054,3
t2a,macro_average,0.6213795000000001,0.0037064566692214815,3
