method,metric,mean,std,count
source,online_pooled_auc,0.8506203148148149,0.0010322790219853776,3
source,online_average_domain_auc,0.841630074074074,0.001846929013766599,3
source,final_average_auc,0.843108,0.0055378085918528965,3
source,final_pooled_auc,0.8499650416666666,0.004289849706599091,3
source,average_forgetting,0.0,0.0,3
tent,online_pooled_auc,0.6650017175925926,0.02058567196050811,3
tent,online_average_domain_auc,0.6847676296296296,0.02218464893011071,3
tent,final_average_auc,0.626272,0.03409041618989132,3
tent,final_pooled_auc,0.6245115416666667,0.03202638726658,3
tent,average_forgetting,0.0968377142857143,0.05115175866348438,3
eata,online_pooled_auc,0.8430741018518518,0.0028132890310332438,3
eata,online_average_domain_auc,0.8187621481481481,0.0036475664275817917,3
eata,final_average_auc,0.8177053333333332,0.005844296478904319,3
eata,final_pooled_auc,0.8410135,0.00688608983408762,3
eata,average_forgetting,0.0,0.0,3
cotta,online_pooled_auc,0.6360810601851852,0.027551630935900528,3
cotta,online_average_domain_auc,0.621097888888889,0.024277491438941975,3
cotta,final_average_auc,0.5069943333333333,0.01509708966434705,3
cotta,final_pooled_auc,0.5049069166666666,0.014781272505972975,3
cotta,average_forgetting,0.11594438095238095,0.03587791748482091,3
rotta,online_pooled_auc,0.8434522037037038,0.0011810750919181718,3
rotta,online_average_domain_auc,0.8277124444444445,0.001837453514991141,3
rotta,final_average_auc,0.7319896666666666,0.00791939873559429,3
rotta,final_pooled_auc,0.7331802083333333,0.01080908336505494,3
rotta,average_forgetting,0.12099199999999999,0.007930226010110179,3
lame,online_pooled_auc,0.8166057222222222,0.002148419434952078,3
lame,online_average_domain_auc,0.825552074074074,0.002257399564596131,3
lame,final_average_auc,0.8257766666666666,0.00560764561409989,3
lame,final_pooled_auc,0.8154569166666666,0.006877450973713525,3
lame,average_forgetting,0.0,0.0,3
t2a,online_pooled_auc,0.8098723564814815,0.01702858077146606,3
t2a,online_average_domain_auc,0.7613849259259259,0.019050862804845636,3
t2a,final_average_auc,0.666778,0.07938967990866322,3
t2a,final_pooled_auc,0.6800151666666666,0.09154850233417364,3
t2a,average_forgetting,0.10881333333333336,0.06932106349934537,3
