method,domain,mean,std,count
source,CycleGAN,0.9703630000000002,0.0,3
source,BigGAN,0.8948969999999999,0.0,3
source,StyleGAN,0.9864320000000001,0.0,3
source,StarGAN,0.9464389999999999,0.0,3
source,GauGAN,0.9795619999999999,0.0,3
source,CRN,0.98935,0.0,3
source,DeepFakes,0.580077,0.0,3
source,GLIDE,0.7033379999999999,0.0,3
source,IMLE,0.9947750000000001,0.0,3
source,LDM,0.6248079999999999,0.01268388225268589,3
source,macro_average,0.8670040999999999,0.0012683882252685816,3
tent,CycleGAN,0.8726866666666666,0.04640352063780651,3
tent,BigGAN,0.8035154999999999,0.022500936919381837,3
tent,StyleGAN,0.9208068333333332,0.04308929705951737,3
tent,StarGAN,0.9373166666666668,0.004686701327515162,3
tent,GauGAN,0.9473061666666666,0.012249664488602648,3
tent,CRN,0.9995601666666666,0.0002410084714970144,3
tent,DeepFakes,0.5088156666666667,0.016397951124556175,3
tent,GLIDE,0.5754648333333333,0.05598665821053565,3
tent,IMLE,0.99844,0.0010581373965606465,3
tent,LDM,0.5852193333333333,0.11361512394520079,3
tent,macro_average,0.8149131833333333,0.015887869056794016,3
eata,CycleGAN,0.9552991666666667,0.003257200689753944,3
eata,BigGAN,0.8934603333333332,0.00476583655650642,3
eata,StyleGAN,0.9729838333333333,0.001069201844056212,3
eata,StarGAN,0.9528924999999999,0.004072104216495505,3
eata,GauGAN,0.9780128333333332,0.0014614651324383573,3
eata,CRN,0.9931786666666667,0.0013416046673045432,3
eata,DeepFakes,0.5074508333333334,0.006932732800514792,3
eata,GLIDE,0.6259738333333333,0.005602315376996657,3
eata,IMLE,0.9943799999999999,6.062384019503969e-05,3
eata,LDM,0.6176843333333334,0.019321316093458395,3
eata,macro_average,0.8491316333333333,0.0017703079790910366,3
cotta,CycleGAN,0.9110986666666667,0.020038190695103465,3
cotta,BigGAN,0.8297675,0.016978718201030342,3
cotta,StyleGAN,0.9451758333333333,0.008277467824361152,3
cotta,StarGAN,0.9164263333333333,0.011194612379771483,3
cotta,GauGAN,0.9560583333333333,0.01766218960331174,3
cotta,CRN,0.9949341666666666,0.0006456710333702694,3
cotta,DeepFakes,0.512137,0.003145861368528508,3
cotta,GLIDE,0.6011190000000001,0.010117886624685912,3
cotta,IMLE,0.9958206666666666,0.001153369989783518,3
cotta,LDM,0.645171,0.0837270568409639,3
cotta,macro_average,0.83077085,0.008481020884746152,3
rotta,CycleGAN,0.9627921666666666,0.0006788634496960972,3
rotta,BigGAN,0.8876355,0.008642680617146424,3
rotta,StyleGAN,0.9766116666666668,0.0016445930601012946,3
rotta,StarGAN,0.9429184999999999,0.002659616654708017,3
rotta,GauGAN,0.9820148333333334,0.0017393487526466064,3
rotta,CRN,0.9928005,0.0011061773139962646,3
rotta,DeepFakes,0.5094426666666666,0.003438703837688392,3
rotta,GLIDE,0.6298145,0.01039825601964087,3
rotta,IMLE,0.9951516666666667,0.0005113768994913369,3
rotta,LDM,0.6236298333333333,0.015587075385823166,3
rotta,macro_average,0.8502811833333332,0.0021166292780818935,3
lame,CycleGAN,0.9676761666666667,0.0003054854060889251,3
lame,BigGAN,0.8872016666666666,0.0004028018536864657,3
lame,StyleGAN,0.9827883333333333,0.0005353898890839747,3
lame,StarGAN,0.9428035,0.0011424691461917407,3
lame,GauGAN,0.9769525,0.0011952350187306358,3
lame,CRN,0.9886305000000001,0.00032807278155918526,3
lame,DeepFakes,0.579842,0.002152006273224989,3
lame,GLIDE,0.6533046666666666,0.0012912669489045462,3
lame,IMLE,0.9944241666666667,0.0003466173442476784,3
lame,LDM,0.5588613333333333,0.01677180957241443,3
lame,macro_average,0.8532484833333333,0.0013000625430467812,3
t2a,CycleGAN,0.9488768333333333,0.006127960964573278,3
t2a,BigGAN,0.8904865000000001,0.005606268433637504,3
t2a,StyleGAN,0.9655833333333333,0.0036930824636518585,3
t2a,StarGAN,0.9375578333333333,0.007651378802760537,3
t2a,GauGAN,0.9751038333333333,0.000946991596231655,3
t2a,CRN,0.9616528333333333,0.019600930439224878,3
t2a,DeepFakes,0.5114018333333333,0.008957170093468882,3
t2a,GLIDE,0.6162243333333334,0.0057687914751127995,3
t2a,IMLE,0.9786671666666665,0.010033330009689326,3
t2a,LDM,0.6023405000000001,0.003742220964881683,3
t2a,macro_average,0.8387895,0.0015378107645285454,3
