method,genimage,aigc_detection_benchmark,aigi_holmes_p3,opensdid_global,mean
source_ft,66.32 $\pm$ 0.74,60.25 $\pm$ 0.08,61.87 $\pm$ 0.32,65.76 $\pm$ 0.19,0.635500
aigi_det_calib,64.85 $\pm$ 0.69,59.11 $\pm$ 0.08,60.24 $\pm$ 0.47,63.63 $\pm$ 0.35,0.619553
tent,50.59 $\pm$ 0.83,51.16 $\pm$ 0.55,50.90 $\pm$ 0.85,49.16 $\pm$ 0.25,0.504497
eata,66.32 $\pm$ 0.74,60.25 $\pm$ 0.08,61.87 $\pm$ 0.32,65.76 $\pm$ 0.19,0.635503
sar,66.32 $\pm$ 0.74,60.25 $\pm$ 0.08,61.87 $\pm$ 0.32,65.76 $\pm$ 0.19,0.635500
cotta,58.60 $\pm$ 1.29,54.33 $\pm$ 0.94,59.23 $\pm$ 0.37,55.93 $\pm$ 1.44,0.570249
rotta,66.32 $\pm$ 0.74,60.24 $\pm$ 0.08,61.85 $\pm$ 0.32,65.73 $\pm$ 0.19,0.635352
lame,58.84 $\pm$ 1.03,54.46 $\pm$ 0.08,53.58 $\pm$ 0.26,56.77 $\pm$ 0.29,0.559158
t2a,58.60 $\pm$ 2.14,53.80 $\pm$ 1.52,54.65 $\pm$ 0.78,54.32 $\pm$ 3.17,0.553419
frozen_clip,64.08 $\pm$ 0.79,69.61 $\pm$ 0.14,67.75 $\pm$ 0.09,59.26 $\pm$ 0.06,0.651725
tda,63.22 $\pm$ 0.36,67.37 $\pm$ 0.19,56.63 $\pm$ 0.44,55.98 $\pm$ 0.24,0.607988
dynaprompt,64.21 $\pm$ 0.58,71.46 $\pm$ 0.15,64.47 $\pm$ 0.28,56.14 $\pm$ 0.42,0.640718
cliptta,67.68 $\pm$ 0.22,68.63 $\pm$ 0.59,70.60 $\pm$ 0.54,61.53 $\pm$ 0.14,0.671108
batclip,51.39 $\pm$ 0.27,51.37 $\pm$ 0.19,51.88 $\pm$ 0.25,50.83 $\pm$ 0.11,0.513689
iapl,64.48 $\pm$ 0.39,62.71 $\pm$ 0.25,47.20 $\pm$ 0.10,49.62 $\pm$ 0.20,0.560034
ours_static,82.08 $\pm$ 0.49,81.96 $\pm$ 0.11,90.67 $\pm$ 0.02,96.79 $\pm$ 0.02,0.878748
ours,83.46 $\pm$ 0.16,83.07 $\pm$ 0.07,91.61 $\pm$ 0.16,96.79 $\pm$ 0.08,0.887336
