fake_ratio,dataset,ours_static_auc_mean,ours_static_auc_std,ours_auc_mean,ours_auc_std,delta_auc_mean,delta_auc_std,ours_static_accuracy_mean,ours_static_accuracy_std,ours_accuracy_mean,ours_accuracy_std,delta_accuracy_mean,delta_accuracy_std,ours_static_balanced_accuracy_mean,ours_static_balanced_accuracy_std,ours_balanced_accuracy_mean,ours_balanced_accuracy_std,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,ours_static_fake_f1_mean,ours_static_fake_f1_std,ours_fake_f1_mean,ours_fake_f1_std,delta_fake_f1_mean,delta_fake_f1_std,ours_static_macro_f1_mean,ours_static_macro_f1_std,ours_macro_f1_mean,ours_macro_f1_std,delta_macro_f1_mean,delta_macro_f1_std
0.1,genimage,0.822604580026455,0.00602393494132338,0.818082423941799,0.005042897410715263,-0.0045221560846560776,0.006900095813853947,0.9291666666666667,0.001958866984750534,0.8083333333333332,0.011430431396266792,-0.12083333333333335,0.010783013695333098,0.6717592592592592,0.008214581251233397,0.7757936507936508,0.006950111066721065,0.10403439153439153,0.012808893356304732,0.39096713220714485,0.01652523642441422,0.49626695343882754,0.019116918089996784,0.10529982123168267,0.022457032132641983,0.6766604650367362,0.008707452642261308,0.688413661538337,0.008381328617935668,0.011753196501600819,0.006792342292770818
0.1,aigc_detection_benchmark,0.8247494553376905,0.007907354450636415,0.816218852124183,0.008316658957990688,-0.00853060321350759,0.0006271602175765499,0.9162500000000001,0.001637577753773502,0.7796323529411765,0.0007090919677200757,-0.1366176470588236,0.001784508985222242,0.6418164488017429,0.005968713670663629,0.7610157952069717,0.007003584839172366,0.11919934640522882,0.00581917896999481,0.34209755246244317,0.01372837988024393,0.4527233454612472,0.01078636993014194,0.11062579299880404,0.00651091013364011,0.6485187208448177,0.007307123589020879,0.6564523218066455,0.005025335998675466,0.007933600961827788,0.004024492367965384
0.1,aigi_holmes_p3,0.9071200810185186,0.0032307597312452867,0.8944583333333332,0.002363038078309154,-0.012661747685185206,0.004634956633998986,0.9304166666666666,0.001872220161555013,0.8207916666666667,0.011221027507912767,-0.10962499999999993,0.009585959785019058,0.6724537037037037,0.0070493237643747715,0.826736111111111,0.005090329884529403,0.15428240740740737,0.00427088038215584,0.4672541684913331,0.021827924476774313,0.49917390797526834,0.01580836050175215,0.03191973948393523,0.007288497109625411,0.7149896599791302,0.011399139553679272,0.6948079478362285,0.011070236949613383,-0.020181712142901837,0.00039322124022163514
0.1,opensdid_global,0.9667042824074074,0.0036569689123420383,0.9590167824074074,0.007862873160985303,-0.0076874999999999956,0.007247108607199445,0.9580833333333333,0.0009464847242999805,0.8990833333333333,0.004404070087241362,-0.058999999999999976,0.005018714974971266,0.8070833333333334,0.007709271714654494,0.9102314814814815,0.004190518152547555,0.1031481481481481,0.009078206730878105,0.7125808427029906,0.014022669834315778,0.6771216548515935,0.008087907994057468,-0.03545918785139716,0.021510861917343502,0.8449723388911129,0.007207124658581594,0.8084751219314147,0.005089659648555399,-0.036497216959698285,0.01222857185335226
0.1,four_dataset_macro,0.8802945996975179,0.00043995660931746294,0.8719440979516806,0.004151289121752969,-0.008350501745837255,0.004567353141108925,0.9334791666666667,0.0011861597469603451,0.8269601715686274,0.006168283464921161,-0.10651899509803923,0.005050383002417001,0.6982781862745098,0.0044935741589022405,0.8184442596483038,0.003800327484172842,0.12016607337379397,0.006641268206542297,0.47822492396597793,0.011051585956497422,0.5313214654317341,0.010356112625707955,0.053096541465756174,0.0118019459757206,0.7212852961879492,0.005836852445298769,0.7120372632781563,0.006006577033410516,-0.009248032909792888,0.004528199276598783
0.25,genimage,0.8171718253968253,0.009598420435832226,0.8206505952380952,0.007297708308511842,0.0034787698412698242,0.006802707740385242,0.8352380952380952,0.0016592095077102708,0.8164880952380953,0.007652225011004858,-0.01874999999999997,0.00786322816296581,0.6768253968253969,0.003154949081000098,0.779484126984127,0.0036311150106696785,0.10265873015873017,0.006415698457447964,0.41483603389440526,0.007102697786301136,0.663508874616058,0.007185815041825318,0.24867284072165266,0.014186435866911835,0.6593534265191049,0.0038899672907670648,0.7683596418045706,0.003319312936584274,0.10900621528546577,0.005805911448292167
0.25,aigc_detection_benchmark,0.8224293300653595,0.002337534377379312,0.820330637254902,0.005583011334299738,-0.002098692810457529,0.0032561015051078596,0.8155392156862744,0.0020434474850093147,0.7971323529411766,0.004573032883960671,-0.018406862745098024,0.0030373373385943828,0.6458169934640523,0.003069243397014421,0.7665849673202615,0.003198443328919482,0.12076797385620912,0.003387085823840256,0.3718725931021785,0.007073235632748474,0.6422746033547058,0.006040094874509727,0.27040201025252725,0.002555460754349139,0.6315586605915066,0.00412728844640998,0.7498689479911519,0.004672217202670533,0.11831028739964537,0.0018501365697325136
0.25,aigi_holmes_p3,0.9078893055555556,0.002192747687031299,0.9031006944444444,0.0044583254348319916,-0.004788611111111137,0.00272230359501395,0.8337500000000001,0.001231107225224462,0.8530416666666666,0.000590726953281605,0.01929166666666667,0.001755942292142093,0.6727777777777778,0.0030394779035100815,0.8423055555555555,0.003041761794555081,0.16952777777777775,0.001336801046168404,0.4819700830847733,0.0034053505331864482,0.7381453053547729,0.0021201125144836336,0.2561752222699995,0.003645766883469615,0.6912745524622593,0.002012410821563667,0.8178948632405767,0.0009267771314368905,0.1266203107783174,0.0022461724655210387
0.25,opensdid_global,0.9671547222222223,0.002738768267008078,0.9623947222222222,0.0037315995167894497,-0.004760000000000024,0.001005233181903505,0.8976666666666667,0.004502314219746815,0.9178333333333333,0.006001735860010223,0.020166666666666704,0.00845699907374564,0.7993333333333333,0.010004165798972623,0.9168888888888889,0.0007515416254704571,0.11755555555555545,0.010752691308243252,0.711323740063505,0.016423561277688393,0.8524281366009477,0.005725681584503129,0.1411043965374428,0.018723459152351477,0.8244509918725452,0.009487224333690506,0.8976947119903279,0.005340488653553657,0.07324372011778253,0.01196004652595178
0.25,four_dataset_macro,0.8786612958099907,0.0021000862748220277,0.8766191622899159,0.0019570831452256246,-0.0020421335200747994,0.002606778437570883,0.8455484943977591,0.000768883003201937,0.8461238620448178,0.0016013660271011932,0.0005753676470588257,0.0018918407691774608,0.6986883753501401,0.0019632104322677784,0.8263158846872082,0.0006255902597776872,0.12762750933706815,0.0023330344639103193,0.4950006125362156,0.0036840378652990605,0.7240892299816211,0.0020480676860017404,0.22908861744540557,0.005433441014942637,0.701659407861354,0.00204366047256461,0.8084545412566567,0.0007258837219247378,0.10679513339530274,0.0027599663660835792
