method,dataset,target,auc_mean,auc_std,accuracy_mean,accuracy_std,ap_mean,ap_std
univfd,genimage,BigGAN,0.74321550,0.00000000,0.54408333,0.00000000,0.71830325,0.00000000
univfd,genimage,ADM,0.62520011,0.00000000,0.51408333,0.00000000,0.59964946,0.00000000
univfd,genimage,glide,0.82390889,0.00000000,0.61500000,0.00000000,0.81344991,0.00000000
univfd,genimage,stable_diffusion_v_1_5,0.95104730,0.00000000,0.78562500,0.00000000,0.94575745,0.00000000
univfd,genimage,VQDM,0.68375871,0.00000000,0.52800000,0.00000000,0.66393094,0.00000000
univfd,genimage,wukong,0.90416104,0.00000000,0.69975000,0.00000000,0.89913169,0.00000000
univfd,genimage,Midjourney,0.86938278,0.00000000,0.69258333,0.00000000,0.87167320,0.00000000
univfd,genimage,Mean,0.80009633,0.00000000,0.62558929,0.00000000,,
univfd,aigc_detection_benchmark,ProGAN,0.77232650,0.00000000,0.66400000,0.00000000,0.71503431,0.00000000
univfd,aigc_detection_benchmark,StyleGAN,0.59883650,0.00000000,0.52900000,0.00000000,0.57942319,0.00000000
univfd,aigc_detection_benchmark,BigGAN,0.76008600,0.00000000,0.53150000,0.00000000,0.73123291,0.00000000
univfd,aigc_detection_benchmark,CycleGAN,0.79198850,0.00000000,0.63200000,0.00000000,0.75101980,0.00000000
univfd,aigc_detection_benchmark,StarGAN,0.83232050,0.00000000,0.70650000,0.00000000,0.80545935,0.00000000
univfd,aigc_detection_benchmark,GauGAN,0.86039850,0.00000000,0.58550000,0.00000000,0.84142059,0.00000000
univfd,aigc_detection_benchmark,StyleGAN2,0.56065400,0.00000000,0.50300000,0.00000000,0.53039121,0.00000000
univfd,aigc_detection_benchmark,WFIR,0.61264850,0.00000000,0.53450000,0.00000000,0.57008764,0.00000000
univfd,aigc_detection_benchmark,ADM,0.61555200,0.00000000,0.50950000,0.00000000,0.59386161,0.00000000
univfd,aigc_detection_benchmark,GLIDE,0.82838400,0.00000000,0.60550000,0.00000000,0.81326470,0.00000000
univfd,aigc_detection_benchmark,Midjourney,0.86734950,0.00000000,0.67850000,0.00000000,0.86820528,0.00000000
univfd,aigc_detection_benchmark,SD v1.4,0.94777300,0.00000000,0.78600000,0.00000000,0.94289719,0.00000000
univfd,aigc_detection_benchmark,SD v1.5,0.95543100,0.00000000,0.77700000,0.00000000,0.94788452,0.00000000
univfd,aigc_detection_benchmark,VQDM,0.67614650,0.00000000,0.51650000,0.00000000,0.64155962,0.00000000
univfd,aigc_detection_benchmark,Wukong,0.91036850,0.00000000,0.69000000,0.00000000,0.89972682,0.00000000
univfd,aigc_detection_benchmark,DALL-E2,0.75939650,0.00000000,0.58450000,0.00000000,0.75461951,0.00000000
univfd,aigc_detection_benchmark,SDXL,0.88813700,0.00000000,0.69100000,0.00000000,0.88857248,0.00000000
univfd,aigc_detection_benchmark,Mean,0.77869394,0.00000000,0.61908824,0.00000000,,
univfd,aigi_holmes_p3,Janus,0.72281500,0.00000000,0.54350000,0.00000000,0.69748529,0.00000000
univfd,aigi_holmes_p3,Janus-Pro-1B,0.92680850,0.00000000,0.68900000,0.00000000,0.91981747,0.00000000
univfd,aigi_holmes_p3,Janus-Pro-7B,0.88230450,0.00000000,0.66100000,0.00000000,0.87021336,0.00000000
