method,dataset,target,auc_mean,auc_std,accuracy_mean,accuracy_std,ap_mean,ap_std
univfd,genimage,BigGAN,0.74224873,0.00136722,0.54445833,0.00053033,0.71755781,0.00105422
univfd,genimage,ADM,0.62424240,0.00135440,0.51362500,0.00064818,0.59850629,0.00161668
univfd,genimage,glide,0.82307001,0.00118635,0.61500000,0.00000000,0.81234330,0.00156499
univfd,genimage,stable_diffusion_v_1_5,0.95047757,0.00080572,0.78584375,0.00030936,0.94509091,0.00094263
univfd,genimage,VQDM,0.68304407,0.00101065,0.52825000,0.00035355,0.66314017,0.00111833
univfd,genimage,wukong,0.90352195,0.00090381,0.70025000,0.00070711,0.89844810,0.00096674
univfd,genimage,Midjourney,0.86876562,0.00087280,0.69337500,0.00111959,0.87104957,0.00088194
univfd,genimage,Mean,0.79933862,0.00107156,0.62582887,0.00033882,,
univfd,aigc_detection_benchmark,ProGAN,0.77272775,0.00056745,0.66525000,0.00176777,0.71551298,0.00067694
univfd,aigc_detection_benchmark,StyleGAN,0.59603250,0.00396545,0.52750000,0.00212132,0.57750127,0.00271801
univfd,aigc_detection_benchmark,BigGAN,0.76005400,0.00004525,0.53200000,0.00070711,0.73135901,0.00017833
univfd,aigc_detection_benchmark,CycleGAN,0.79078900,0.00169635,0.63350000,0.00212132,0.74920571,0.00256551
univfd,aigc_detection_benchmark,StarGAN,0.83273175,0.00058160,0.70825000,0.00247487,0.80539104,0.00009662
univfd,aigc_detection_benchmark,GauGAN,0.86003975,0.00050735,0.58600000,0.00070711,0.84096605,0.00064281
univfd,aigc_detection_benchmark,StyleGAN2,0.55897900,0.00236881,0.50200000,0.00141421,0.52949852,0.00126245
univfd,aigc_detection_benchmark,WFIR,0.61385750,0.00170978,0.53325000,0.00176777,0.57156559,0.00209015
univfd,aigc_detection_benchmark,ADM,0.61445975,0.00154467,0.50850000,0.00141421,0.59296076,0.00127400
univfd,aigc_detection_benchmark,GLIDE,0.82736750,0.00143755,0.60625000,0.00106066,0.81175114,0.00214050
univfd,aigc_detection_benchmark,Midjourney,0.86676125,0.00083191,0.67850000,0.00000000,0.86768125,0.00074109
univfd,aigc_detection_benchmark,SD v1.4,0.94728325,0.00069261,0.78750000,0.00212132,0.94244103,0.00064511
univfd,aigc_detection_benchmark,SD v1.5,0.95493750,0.00069791,0.77850000,0.00212132,0.94725669,0.00088789
univfd,aigc_detection_benchmark,VQDM,0.67531550,0.00117521,0.51800000,0.00212132,0.64078014,0.00110236
univfd,aigc_detection_benchmark,Wukong,0.90981800,0.00077852,0.69025000,0.00035355,0.89914884,0.00081739
univfd,aigc_detection_benchmark,DALL-E2,0.75732425,0.00293060,0.58450000,0.00000000,0.75245570,0.00306008
univfd,aigc_detection_benchmark,SDXL,0.88645425,0.00237977,0.68800000,0.00424264,0.88691900,0.00233837
univfd,aigc_detection_benchmark,Mean,0.77793721,0.00107019,0.61927941,0.00027036,,
univfd,aigi_holmes_p3,Janus,0.72168075,0.00160407,0.54375000,0.00035355,0.69612112,0.00192923
univfd,aigi_holmes_p3,Janus-Pro-1B,0.92646950,0.00047942,0.69025000,0.00176777,0.91947445,0.00048511
univfd,aigi_holmes_p3,Janus-Pro-7B,0.88160125,0.00099455,0.66025000,0.00106066,0.86927054,0.00133334
univfd,aigi_holmes_p3,Show-o,0.95068975,0.00116991,0.78350000,0.00141421,0.94960364,0.00113501
univfd,aigi_holmes_p3,LlamaGen,0.94649050,0.00031042,0.73275000,0.00176777,0.93610723,0.00044295
univfd,aigi_holmes_p3,Infinity,0.95636525,0.00111405,0.81225000,0.00035355,0.95211241,0.00122052
univfd,aigi_holmes_p3,VAR,0.71131575,0.00034330,0.52900000,0.00000000,0.68043403,0.00108423
univfd,aigi_holmes_p3,PixArt-XL,0.93587975,0.00091111,0.75975000,0.00035355,0.92824854,0.00099990
univfd,aigi_holmes_p3,SD3.5-L,0.83561500,0.00135694,0.57800000,0.00070711,0.80391800,0.00217576
univfd,aigi_holmes_p3,FLUX,0.91962600,0.00156907,0.72775000,0.00247487,0.91154289,0.00191394
univfd,aigi_holmes_p3,Mean,0.87857335,0.00085454,0.68172500,0.00024749,,
univfd,opensdid_global,SD1.5,0.93615250,0.00082449,0.74500000,0.00000000,0.93415985,0.00099725
univfd,opensdid_global,SD2.1,0.93879450,0.00079125,0.75450000,0.00212132,0.93203689,0.00065606
univfd,opensdid_global,SDXL,0.88542800,0.00179676,0.69025000,0.00176777,0.89503344,0.00153629
univfd,opensdid_global,SD3,0.93191750,0.00115612,0.73075000,0.00035355,0.92799699,0.00132359
univfd,opensdid_global,Flux.1,0.92030800,0.00119430,0.72625000,0.00035355,0.91262974,0.00153127
univfd,opensdid_global,Mean,0.92252010,0.00115258,0.72935000,0.00077782,,
rine,genimage,BigGAN,0.90097444,0.04031492,0.50195833,0.00147314,0.88115375,0.05001223
rine,genimage,ADM,0.65009142,0.01686338,0.50020833,0.00017678,0.62549443,0.01755829
rine,genimage,glide,0.86353929,0.04948793,0.50395833,0.00276950,0.84627195,0.05998225
rine,genimage,stable_diffusion_v_1_5,0.98990362,0.00327880,0.70346875,0.12502532,0.98934247,0.00351217
rine,genimage,VQDM,0.78411124,0.02953121,0.50491667,0.00459619,0.76100837,0.02967111
rine,genimage,wukong,0.97605065,0.00205599,0.63037500,0.07430514,0.97474012,0.00246828
rine,genimage,Midjourney,0.84781372,0.00843847,0.51462500,0.01702949,0.84053986,0.01796292
rine,genimage,Mean,0.85892634,0.01748917,0.55135863,0.03219651,,
rine,aigc_detection_benchmark,ProGAN,0.81586175,0.03048656,0.51200000,0.01343503,0.80252908,0.03452347
rine,aigc_detection_benchmark,StyleGAN,0.74569400,0.01129674,0.50350000,0.00494975,0.72621481,0.02220805
rine,aigc_detection_benchmark,BigGAN,0.79678400,0.02000829,0.50225000,0.00318198,0.75807763,0.01440303
rine,aigc_detection_benchmark,CycleGAN,0.88546475,0.05883659,0.56050000,0.02828427,0.87572963,0.06714758
rine,aigc_detection_benchmark,StarGAN,0.81988750,0.04348636,0.50150000,0.00070711,0.80735556,0.04587847
rine,aigc_detection_benchmark,GauGAN,0.85629175,0.02324154,0.50500000,0.00565685,0.83886867,0.02598651
rine,aigc_detection_benchmark,StyleGAN2,0.73298075,0.02612441,0.50250000,0.00353553,0.70289790,0.03150543
rine,aigc_detection_benchmark,WFIR,0.73038975,0.02284839,0.50375000,0.00530330,0.68662719,0.02371830
rine,aigc_detection_benchmark,ADM,0.63644700,0.02094309,0.49975000,0.00035355,0.61457771,0.01777130
rine,aigc_detection_benchmark,GLIDE,0.86639650,0.04560273,0.50625000,0.00530330,0.84487498,0.05518406
rine,aigc_detection_benchmark,Midjourney,0.84555750,0.00327603,0.51625000,0.01944544,0.83794113,0.01478159
rine,aigc_detection_benchmark,SD v1.4,0.98792375,0.00480019,0.70775000,0.12975409,0.98724546,0.00505343
rine,aigc_detection_benchmark,SD v1.5,0.99034975,0.00199298,0.70650000,0.12586501,0.99033016,0.00189119
rine,aigc_detection_benchmark,VQDM,0.77835700,0.03193365,0.50300000,0.00494975,0.74927264,0.03008565
rine,aigc_detection_benchmark,Wukong,0.97662125,0.00300131,0.63750000,0.07495332,0.97653342,0.00343236
rine,aigc_detection_benchmark,DALL-E2,0.72287325,0.04563278,0.50200000,0.00141421,0.69801774,0.04147910
rine,aigc_detection_benchmark,SDXL,0.91295750,0.02894117,0.51850000,0.02404163,0.89540168,0.04130395
rine,aigc_detection_benchmark,Mean,0.82946104,0.01683415,0.54050000,0.02641252,,
rine,aigi_holmes_p3,Janus,0.72176300,0.00516471,0.50100000,0.00141421,0.67552596,0.00679451
rine,aigi_holmes_p3,Janus-Pro-1B,0.85878300,0.03743070,0.51200000,0.00777817,0.84912736,0.04042422
rine,aigi_holmes_p3,Janus-Pro-7B,0.83140275,0.02641150,0.50325000,0.00318198,0.79393764,0.03022294
rine,aigi_holmes_p3,Show-o,0.94790750,0.00686035,0.52700000,0.03181981,0.94171632,0.00915042
rine,aigi_holmes_p3,LlamaGen,0.95195175,0.00246674,0.52450000,0.01979899,0.94220630,0.00511801
rine,aigi_holmes_p3,Infinity,0.91710025,0.00006824,0.50725000,0.00954594,0.89052435,0.00018439
rine,aigi_holmes_p3,VAR,0.72009375,0.03151469,0.50200000,0.00282843,0.70016556,0.03074889
rine,aigi_holmes_p3,PixArt-XL,0.93217150,0.00160089,0.51875000,0.01803122,0.91751789,0.00101736
rine,aigi_holmes_p3,SD3.5-L,0.90043075,0.02151196,0.50175000,0.00247487,0.88064533,0.02418423
rine,aigi_holmes_p3,FLUX,0.90020275,0.00466584,0.51425000,0.01520280,0.88342773,0.00920099
rine,aigi_holmes_p3,Mean,0.86818070,0.01103072,0.51117500,0.01120764,,
rine,opensdid_global,SD1.5,0.98206600,0.00312541,0.64300000,0.09828784,0.98226793,0.00337588
rine,opensdid_global,SD2.1,0.95493875,0.00512829,0.56425000,0.06187184,0.95143827,0.00528052
rine,opensdid_global,SDXL,0.90755375,0.01917002,0.51350000,0.01909188,0.88505010,0.02761641
rine,opensdid_global,SD3,0.91578250,0.00445972,0.51975000,0.01803122,0.90884884,0.00343507
rine,opensdid_global,Flux.1,0.89000675,0.00254665,0.50325000,0.00388909,0.87365367,0.00080850
rine,opensdid_global,Mean,0.93006955,0.00688602,0.54875000,0.04023438,,
npr,genimage,BigGAN,0.30615666,0.03660082,0.49766667,0.00141421,0.40234283,0.01691494
npr,genimage,ADM,0.38680728,0.02511512,0.49920833,0.00111959,0.42057356,0.01810919
npr,genimage,glide,0.49449367,0.09494984,0.50341667,0.00047140,0.50856761,0.06464082
npr,genimage,stable_diffusion_v_1_5,0.69709282,0.02621972,0.53168750,0.01051821,0.72675298,0.02599503
npr,genimage,VQDM,0.33569272,0.02366823,0.49875000,0.00082496,0.40243505,0.00685005
npr,genimage,wukong,0.69427638,0.02488640,0.53570833,0.01160834,0.71923866,0.01809808
npr,genimage,Midjourney,0.55979042,0.06985866,0.50125000,0.00023570,0.53898044,0.05146789
npr,genimage,Mean,0.49632999,0.03628033,0.50966964,0.00278213,,
npr,aigc_detection_benchmark,ProGAN,0.46888600,0.02154342,0.50025000,0.00035355,0.47595182,0.01629924
npr,aigc_detection_benchmark,StyleGAN,0.37569450,0.01432810,0.50000000,0.00070711,0.42578463,0.00877444
npr,aigc_detection_benchmark,BigGAN,0.42635900,0.03188627,0.49625000,0.00388909,0.44350239,0.01925116
npr,aigc_detection_benchmark,CycleGAN,0.72964500,0.06968113,0.51525000,0.01520280,0.71278629,0.04335125
npr,aigc_detection_benchmark,StarGAN,0.45786950,0.00905521,0.50000000,0.00000000,0.46468812,0.00384041
npr,aigc_detection_benchmark,GauGAN,0.38562675,0.00682464,0.49950000,0.00070711,0.42202767,0.00272570
npr,aigc_detection_benchmark,StyleGAN2,0.43882875,0.01044008,0.49950000,0.00070711,0.45709672,0.00720313
npr,aigc_detection_benchmark,WFIR,0.45012550,0.00372928,0.50000000,0.00000000,0.47105476,0.00300005
npr,aigc_detection_benchmark,ADM,0.38586825,0.02336811,0.50025000,0.00035355,0.41877167,0.01766902
npr,aigc_detection_benchmark,GLIDE,0.49306375,0.09639527,0.50225000,0.00035355,0.50648193,0.06477554
npr,aigc_detection_benchmark,Midjourney,0.56152350,0.06461188,0.50225000,0.00035355,0.54703808,0.05010530
npr,aigc_detection_benchmark,SD v1.4,0.70331325,0.02678273,0.53625000,0.00883883,0.73257896,0.02840247
npr,aigc_detection_benchmark,SD v1.5,0.72449350,0.02191182,0.53075000,0.01308148,0.74951643,0.02619528
npr,aigc_detection_benchmark,VQDM,0.34621175,0.02592784,0.49725000,0.00247487,0.40714377,0.00712958
npr,aigc_detection_benchmark,Wukong,0.67969575,0.02560115,0.53675000,0.01590990,0.71290504,0.01660956
npr,aigc_detection_benchmark,DALL-E2,0.48231250,0.13650767,0.50150000,0.00000000,0.52041791,0.09508735
npr,aigc_detection_benchmark,SDXL,0.57157100,0.09790813,0.50175000,0.00176777,0.58229320,0.07412243
npr,aigc_detection_benchmark,Mean,0.51065225,0.02662837,0.50704412,0.00272444,,
npr,aigi_holmes_p3,Janus,0.54771650,0.06043005,0.50050000,0.00000000,0.54566582,0.04248341
npr,aigi_holmes_p3,Janus-Pro-1B,0.50940900,0.10823896,0.50200000,0.00070711,0.52437980,0.07352841
npr,aigi_holmes_p3,Janus-Pro-7B,0.52442925,0.12308360,0.50025000,0.00035355,0.52054802,0.08504315
npr,aigi_holmes_p3,Show-o,0.50168675,0.06817464,0.50100000,0.00070711,0.49058915,0.04955202
npr,aigi_holmes_p3,LlamaGen,0.78352800,0.00945967,0.52700000,0.01697056,0.79608447,0.00462244
npr,aigi_holmes_p3,Infinity,0.55742050,0.05508715,0.49975000,0.00106066,0.54318998,0.04020627
npr,aigi_holmes_p3,VAR,0.52098250,0.04228286,0.50150000,0.00141421,0.53973026,0.02359610
npr,aigi_holmes_p3,PixArt-XL,0.64882100,0.04366384,0.50000000,0.00070711,0.62688335,0.03993543
npr,aigi_holmes_p3,SD3.5-L,0.44958150,0.05516847,0.49950000,0.00070711,0.45856539,0.03134838
npr,aigi_holmes_p3,FLUX,0.61751850,0.05564294,0.50300000,0.00212132,0.60972573,0.04232065
npr,aigi_holmes_p3,Mean,0.56610935,0.06212322,0.50345000,0.00197990,,
npr,opensdid_global,SD1.5,0.72690525,0.05238000,0.52325000,0.00742462,0.75401923,0.04636415
npr,opensdid_global,SD2.1,0.67392050,0.02631215,0.50800000,0.00777817,0.69752942,0.02382824
npr,opensdid_global,SDXL,0.53209925,0.08045850,0.50100000,0.00141421,0.54372750,0.06180320
npr,opensdid_global,SD3,0.60502850,0.04196113,0.50275000,0.00176777,0.59041285,0.03309645
npr,opensdid_global,Flux.1,0.55055925,0.07138349,0.50050000,0.00000000,0.53281305,0.05216414
npr,opensdid_global,Mean,0.61770255,0.05449905,0.50710000,0.00367696,,
