suite,metric,method,online_mean,online_std,final_holdout,final_holdout_std,average_forgetting,average_forgetting_std
opensdid_global,auc,source,0.899861,0.001754,0.893891,0.005568,0.000000,0.000000
opensdid_global,auc,tent,0.909701,0.023234,0.921041,0.019930,0.000395,0.000422
opensdid_global,auc,eata,0.886667,0.000445,0.884508,0.006318,0.000000,0.000000
opensdid_global,auc,cotta,0.905485,0.014761,0.912485,0.014141,0.002494,0.003489
opensdid_global,auc,rotta,0.904935,0.000373,0.881742,0.002335,0.028157,0.004544
opensdid_global,auc,lame,0.898400,0.001599,0.891307,0.006325,0.000000,0.000000
opensdid_global,auc,t2a,0.820502,0.023281,0.762175,0.038193,0.043617,0.004438
opensdid_global,accuracy,source,0.625333,0.001392,0.629200,0.004176,0.000000,0.000000
opensdid_global,accuracy,tent,0.817511,0.035668,0.826400,0.052295,0.009000,0.005679
opensdid_global,accuracy,eata,0.793822,0.000616,0.793067,0.000611,0.000000,0.000000
opensdid_global,accuracy,cotta,0.824711,0.019245,0.837333,0.017845,0.005167,0.003403
opensdid_global,accuracy,rotta,0.787644,0.000983,0.788933,0.001286,0.023333,0.006429
opensdid_global,accuracy,lame,0.562533,0.002533,0.565733,0.006018,0.000000,0.000000
opensdid_global,accuracy,t2a,0.746356,0.018407,0.697600,0.027279,0.037000,0.001500
aigc_detection_benchmark,auc,source,0.747134,0.001849,0.750416,0.005631,0.000000,0.000000
aigc_detection_benchmark,auc,tent,0.740233,0.020345,0.739939,0.023052,0.013254,0.003672
aigc_detection_benchmark,auc,eata,0.748382,0.000523,0.751304,0.004492,0.000000,0.000000
aigc_detection_benchmark,auc,cotta,0.672591,0.018506,0.660918,0.025551,0.019201,0.006924
aigc_detection_benchmark,auc,rotta,0.751276,0.001362,0.725234,0.007493,0.063256,0.001257
aigc_detection_benchmark,auc,lame,0.746697,0.002465,0.752449,0.005816,0.000000,0.000000
aigc_detection_benchmark,auc,t2a,0.648943,0.015264,0.584087,0.029206,0.070525,0.005436
aigc_detection_benchmark,accuracy,source,0.641830,0.000460,0.642510,0.001379,0.000000,0.000000
aigc_detection_benchmark,accuracy,tent,0.696824,0.024492,0.698706,0.029969,0.014833,0.003971
aigc_detection_benchmark,accuracy,eata,0.715739,0.000786,0.720431,0.004668,0.000000,0.000000
aigc_detection_benchmark,accuracy,cotta,0.628301,0.018740,0.617882,0.026814,0.017458,0.003492
aigc_detection_benchmark,accuracy,rotta,0.709033,0.002399,0.675961,0.006008,0.073292,0.001543
aigc_detection_benchmark,accuracy,lame,0.610719,0.000653,0.610039,0.000883,0.000000,0.000000
aigc_detection_benchmark,accuracy,t2a,0.623974,0.015013,0.574275,0.024371,0.059083,0.003892
aigi_holmes_p3,auc,source,0.779890,0.000715,0.781204,0.001864,0.000000,0.000000
aigi_holmes_p3,auc,tent,0.777813,0.021023,0.782099,0.033064,0.018901,0.014591
aigi_holmes_p3,auc,eata,0.781252,0.000871,0.785313,0.002406,0.000000,0.000000
aigi_holmes_p3,auc,cotta,0.614238,0.068641,0.628409,0.072604,0.004376,0.000835
aigi_holmes_p3,auc,rotta,0.790986,0.003684,0.750890,0.006441,0.091258,0.008119
aigi_holmes_p3,auc,lame,0.748159,0.000641,0.750127,0.002494,0.000000,0.000000
aigi_holmes_p3,auc,t2a,0.713712,0.022153,0.657652,0.037377,0.081471,0.054910
aigi_holmes_p3,accuracy,source,0.612089,0.000505,0.610933,0.001514,0.000000,0.000000
aigi_holmes_p3,accuracy,tent,0.657978,0.033560,0.650600,0.043721,0.018000,0.010215
aigi_holmes_p3,accuracy,eata,0.709244,0.002450,0.710133,0.004826,0.000000,0.000000
aigi_holmes_p3,accuracy,cotta,0.571844,0.046643,0.584067,0.054452,0.007407,0.001264
aigi_holmes_p3,accuracy,rotta,0.706000,0.002080,0.673933,0.014552,0.055111,0.011420
aigi_holmes_p3,accuracy,lame,0.547511,0.001996,0.545800,0.000872,0.000000,0.000000
aigi_holmes_p3,accuracy,t2a,0.658200,0.019213,0.619467,0.027513,0.063481,0.040465
