batch,domain,position,sample_id
0,SD1.5,0,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000528315.jpg
0,SD1.5,1,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000012209.jpg
0,SD1.5,2,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000107860.jpg
0,SD1.5,3,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000084131.jpg
0,SD1.5,4,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000416811.jpg
0,SD1.5,5,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000230141.jpg
0,SD1.5,6,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000425136.jpg
0,SD1.5,7,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000369437.jpg
0,SD1.5,8,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000448397.jpg
0,SD1.5,9,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000072632.jpg
0,SD1.5,10,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000074827.jpg
0,SD1.5,11,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000496869.jpg
0,SD1.5,12,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000056416.jpg
0,SD1.5,13,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000102307.jpg
0,SD1.5,14,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000574769.jpg
0,SD1.5,15,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000320336.jpg
1,SD1.5,16,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000416767.jpg
1,SD1.5,17,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000409323.jpg
1,SD1.5,18,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000337949.jpg
1,SD1.5,19,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000246985.jpg
1,SD1.5,20,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000212558.jpg
1,SD1.5,21,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000453334.jpg
1,SD1.5,22,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000355248.jpg
1,SD1.5,23,SD1.5/SD1.5/test/1_fake/entire__sd15__fake__000000169474.jpg
1,SD1.5,24,SD1.5/SD1.5/test/0_real/entire__sd15__real__000000416767.jpg
