batch,domain,position,sample_id
0,BigGAN,0,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00045431.JPEG
0,BigGAN,1,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00001857.JPEG
0,BigGAN,2,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00008461.JPEG
0,BigGAN,3,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00006839.JPEG
0,BigGAN,4,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00035143.JPEG
0,BigGAN,5,GenImage_test/BigGAN/test/ai/389_biggan_00127.png
0,BigGAN,6,GenImage_test/BigGAN/test/ai/759_biggan_00143.png
0,BigGAN,7,GenImage_test/BigGAN/test/ai/661_biggan_00020.png
0,BigGAN,8,GenImage_test/BigGAN/test/ai/804_biggan_00035.png
0,BigGAN,9,GenImage_test/BigGAN/test/ai/135_biggan_00020.png
0,BigGAN,10,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00005842.JPEG
0,BigGAN,11,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00043589.JPEG
0,BigGAN,12,GenImage_test/BigGAN/test/ai/104_biggan_00127.png
0,BigGAN,13,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00008169.JPEG
0,BigGAN,14,GenImage_test/BigGAN/test/ai/988_biggan_00039.png
0,BigGAN,15,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00025798.JPEG
1,BigGAN,16,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00035069.JPEG
1,BigGAN,17,GenImage_test/BigGAN/test/ai/736_biggan_00143.png
1,BigGAN,18,GenImage_test/BigGAN/test/ai/608_biggan_00035.png
1,BigGAN,19,GenImage_test/BigGAN/test/ai/436_biggan_00074.png
1,BigGAN,20,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00016919.JPEG
1,BigGAN,21,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00039910.JPEG
1,BigGAN,22,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00028926.JPEG
1,BigGAN,23,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00013264.JPEG
1,BigGAN,24,GenImage_test/BigGAN/test/ai/747_biggan_00039.png
1,BigGAN,25,GenImage_test/BigGAN/test/ai/961_biggan_00074.png
1,BigGAN,26,GenImage_test/BigGAN/test/ai/272_biggan_00035.png
1,BigGAN,27,GenImage_test/BigGAN/test/ai/699_biggan_00127.png
1,BigGAN,28,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00032508.JPEG
1,BigGAN,29,GenImage_test/BigGAN/test/ai/958_biggan_00020.png
1,BigGAN,30,GenImage_test/BigGAN/test/ai/105_biggan_00074.png
1,BigGAN,31,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00031182.JPEG
2,BigGAN,32,GenImage_test/BigGAN/test/ai/803_biggan_00020.png
2,BigGAN,33,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00013129.JPEG
2,BigGAN,34,GenImage_test/BigGAN/test/ai/503_biggan_00035.png
2,BigGAN,35,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00043957.JPEG
2,BigGAN,36,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00024727.JPEG
2,BigGAN,37,GenImage_test/BigGAN/test/ai/025_biggan_00127.png
2,BigGAN,38,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00002424.JPEG
2,BigGAN,39,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00031406.JPEG
2,BigGAN,40,GenImage_test/BigGAN/test/ai/900_biggan_00020.png
2,BigGAN,41,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00031042.JPEG
2,BigGAN,42,GenImage_test/BigGAN/test/ai/103_biggan_00020.png
2,BigGAN,43,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00013021.JPEG
2,BigGAN,44,GenImage_test/BigGAN/test/ai/697_biggan_00035.png
2,BigGAN,45,GenImage_test/BigGAN/test/ai/970_biggan_00035.png
2,BigGAN,46,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00007097.JPEG
2,BigGAN,47,GenImage_test/BigGAN/test/ai/382_biggan_00074.png
3,BigGAN,48,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00040586.JPEG
3,BigGAN,49,GenImage_test/BigGAN/test/nature/ILSVRC2012_val_00003443.JPEG
3,BigGAN,50,GenImage_test/BigGAN/test/ai/213_biggan_00020.png
