domain	expected	checked	raw	exact_bytes	byte_mismatch	missing	extra	checked_exact	full_exact
progan	8000	8000	8000	8000	0	0	0	True	True
cyclegan	2642	2642	2642	2642	0	0	0	True	True
biggan	4000	4000	4000	4000	0	0	0	True	True
stylegan	11982	11982	11982	11982	0	0	0	True	True
gaugan	10000	10000	10000	10000	0	0	0	True	True
stargan	3998	3998	3998	3998	0	0	0	True	True
deepfake	5405	5405	5405	5405	0	0	0	True	True
seeingdark	360	360	360	360	0	0	0	True	True
san	438	438	438	438	0	0	0	True	True
crn	12764	12764	12764	12764	0	0	0	True	True
imle	12764	12764	12764	12764	0	0	0	True	True
